flutter_path,file_type,dimensions,sha256,consumer,migrate_to_native,native_destination,notes
assets/emoji/modern/0_0.png,PNG,66x66,D70CAFC2390FE4F4EF1622D4F8CC0DED9133E201F8B55F95299AAC4384725407,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1.png,PNG,66x66,DF2D6BB46CAA399B5667CD0742222E32B6DEECF6E373B91F297817EAEA5D4450,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_10.png,PNG,66x66,C182D021A8BE471A1310FCC6D4D8701655939AEE5C5E659A8D2CD2003C88AC72,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_100.png,PNG,66x66,52A43D8D1A23072D0787DA859142654BFE3E10571536CFC895DBB28EFB58D3D4,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1000.png,PNG,66x66,876531E0EBDC51F126B61CE8E4F9ABADB401C558DA228E2E8AD30E6C4E649275,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1001.png,PNG,66x66,603158C8243EC41D9B5352A2609DF7A308642FFDB5D09ED2AE1AA6DC03001967,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1002.png,PNG,66x66,66EBC3A149B5A3CD02213CC73385DAA4A6FEC4EEB4CCE0656F292A432303A657,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1003.png,PNG,66x66,168074AAAA7DF613903E2FE63E98C69214FC5EAC0F6564749BAAA9C756B968DF,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1004.png,PNG,66x66,92580CE410B244A01E4130781AAE89480D65E3CA615C6E2B2D88F2C45D557ABB,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1005.png,PNG,66x66,75786C3E6C991C7634381783D41D44B5C4790EFE9FEC41736F764138D27488D6,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1006.png,PNG,66x66,F4900FFF1F525DED0B355D833562F37E7FD3106C3CA18D187D6531A887F2164F,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1007.png,PNG,66x66,FC5C75D5C886EC918BF6DC8345F0C3CA70865CB63EF3B3BF36D18C954F97F938,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1008.png,PNG,66x66,6120EAD30EC1DCD62A1F37FA83201022CB62A8D49E08DB817C85AD5DCD776F9C,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1009.png,PNG,66x66,CC7AF35569C056420FC62378F709383DFE3EB334215E59C7432B7CBEA913C4DE,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_101.png,PNG,66x66,0B4E0295C82443070EB43E49F41F64ADD910209BF7B8DEE728739210FFCECD47,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1010.png,PNG,66x66,20FBD047BB068B13EA39B8559B429E483F0A009E5AB7001510FB26F236194243,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1011.png,PNG,66x66,A6F993310BB62E346904062CAEB2C2E002B78DFD6C9FEAD17FAA61379D17023E,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
assets/emoji/modern/0_1012.png,PNG,66x66,366B52560BF9E7AA3FBD6004C66F857F38F4F99CF8E620011638CF37C785CBCB,modern_emoji_map.json / emoji picker,no,,outside Login/shared-foundation scope
